arch type   mix	 threads ms	    ops	
AMD QQueue	50-50	1	1241.93	10000000
AMD QQueue	50-50	1	1232.63	10000000
AMD QQueue	50-50	1	1233.48	10000000
AMD QQueue	50-50	1	1233.00	10000000
AMD QQueue	50-50	1	1233.34	10000000
AMD QQueue	50-50	1	1233.41	10000000
AMD QQueue	50-50	1	1233.31	10000000
AMD QQueue	50-50	1	1233.32	10000000
AMD QQueue	50-50	1	1232.96	10000000
AMD QQueue	50-50	1	1233.26	10000000
AMD QQueue	50-50	2	703.04	10000000
AMD QQueue	50-50	2	700.34	10000000
AMD QQueue	50-50	2	699.15	10000000
AMD QQueue	50-50	2	697.09	10000000
AMD QQueue	50-50	2	698.14	10000000
AMD QQueue	50-50	2	700.69	10000000
AMD QQueue	50-50	2	698.10	10000000
AMD QQueue	50-50	2	699.18	10000000
AMD QQueue	50-50	2	699.35	10000000
AMD QQueue	50-50	2	701.91	10000000
AMD QQueue	50-50	3	536.66	10000000
AMD QQueue	50-50	3	542.38	10000000
AMD QQueue	50-50	3	536.02	10000000
AMD QQueue	50-50	3	541.10	10000000
AMD QQueue	50-50	3	540.65	10000000
AMD QQueue	50-50	3	539.78	10000000
AMD QQueue	50-50	3	537.94	10000000
AMD QQueue	50-50	3	543.64	10000000
AMD QQueue	50-50	3	541.29	10000000
AMD QQueue	50-50	3	535.29	10000000
AMD QQueue	50-50	4	487.95	10000000
AMD QQueue	50-50	4	475.39	10000000
AMD QQueue	50-50	4	467.80	10000000
AMD QQueue	50-50	4	488.37	10000000
AMD QQueue	50-50	4	476.60	10000000
AMD QQueue	50-50	4	475.25	10000000
AMD QQueue	50-50	4	473.81	10000000
AMD QQueue	50-50	4	488.10	10000000
AMD QQueue	50-50	4	483.60	10000000
AMD QQueue	50-50	4	485.44	10000000
AMD QQueue	50-50	5	602.46	10000000
AMD QQueue	50-50	5	598.57	10000000
AMD QQueue	50-50	5	542.83	10000000
AMD QQueue	50-50	5	543.90	10000000
AMD QQueue	50-50	5	543.63	10000000
AMD QQueue	50-50	5	543.40	10000000
AMD QQueue	50-50	5	543.78	10000000
AMD QQueue	50-50	5	544.15	10000000
AMD QQueue	50-50	5	545.78	10000000
AMD QQueue	50-50	5	547.25	10000000
AMD QQueue	50-50	5	545.61	10000000
AMD QQueue	50-50	5	544.59	10000000
AMD QQueue	50-50	6	642.14	10000000
AMD QQueue	50-50	6	597.11	10000000
AMD QQueue	50-50	6	545.94	10000000
AMD QQueue	50-50	6	550.37	10000000
AMD QQueue	50-50	6	549.04	10000000
AMD QQueue	50-50	6	549.72	10000000
AMD QQueue	50-50	6	549.38	10000000
AMD QQueue	50-50	6	548.62	10000000
AMD QQueue	50-50	6	550.68	10000000
AMD QQueue	50-50	6	548.30	10000000
AMD QQueue	50-50	6	548.62	10000000
AMD QQueue	50-50	6	549.01	10000000
AMD QQueue	50-50	7	578.10	10000000
AMD QQueue	50-50	7	559.89	10000000
AMD QQueue	50-50	7	522.64	10000000
AMD QQueue	50-50	7	521.68	10000000
AMD QQueue	50-50	7	524.00	10000000
AMD QQueue	50-50	7	520.94	10000000
AMD QQueue	50-50	7	520.87	10000000
AMD QQueue	50-50	7	521.08	10000000
AMD QQueue	50-50	7	518.42	10000000
AMD QQueue	50-50	7	522.16	10000000
AMD QQueue	50-50	7	521.49	10000000
AMD QQueue	50-50	7	522.65	10000000
AMD QQueue	50-50	8	547.02	10000000
AMD QQueue	50-50	8	540.69	10000000
AMD QQueue	50-50	8	504.19	10000000
AMD QQueue	50-50	8	507.16	10000000
AMD QQueue	50-50	8	504.60	10000000
AMD QQueue	50-50	8	504.91	10000000
AMD QQueue	50-50	8	507.56	10000000
AMD QQueue	50-50	8	508.43	10000000
AMD QQueue	50-50	8	505.27	10000000
AMD QQueue	50-50	8	507.22	10000000
AMD QQueue	50-50	8	507.76	10000000
AMD QQueue	50-50	8	502.21	10000000
AMD QQueue	50-50	9	540.67	10000000
AMD QQueue	50-50	9	533.32	10000000
AMD QQueue	50-50	9	515.49	10000000
AMD QQueue	50-50	9	514.24	10000000
AMD QQueue	50-50	9	515.74	10000000
AMD QQueue	50-50	9	516.47	10000000
AMD QQueue	50-50	9	517.74	10000000
AMD QQueue	50-50	9	519.41	10000000
AMD QQueue	50-50	9	519.81	10000000
AMD QQueue	50-50	9	520.32	10000000
AMD QQueue	50-50	10	480.33	10000000
AMD QQueue	50-50	10	477.38	10000000
AMD QQueue	50-50	10	476.22	10000000
AMD QQueue	50-50	10	477.77	10000000
AMD QQueue	50-50	10	487.86	10000000
AMD QQueue	50-50	10	479.55	10000000
AMD QQueue	50-50	10	479.34	10000000
AMD QQueue	50-50	10	479.64	10000000
AMD QQueue	50-50	10	479.82	10000000
AMD QQueue	50-50	10	481.33	10000000
AMD QQueue	50-50	11	487.67	10000000
AMD QQueue	50-50	11	487.81	10000000
AMD QQueue	50-50	11	487.50	10000000
AMD QQueue	50-50	11	487.68	10000000
AMD QQueue	50-50	11	487.99	10000000
AMD QQueue	50-50	11	487.66	10000000
AMD QQueue	50-50	11	488.81	10000000
AMD QQueue	50-50	11	489.06	10000000
AMD QQueue	50-50	11	489.36	10000000
AMD QQueue	50-50	11	488.26	10000000
AMD QQueue	50-50	12	466.65	10000000
AMD QQueue	50-50	12	465.71	10000000
AMD QQueue	50-50	12	456.52	10000000
AMD QQueue	50-50	12	456.07	10000000
AMD QQueue	50-50	12	454.72	10000000
AMD QQueue	50-50	12	454.03	10000000
AMD QQueue	50-50	12	456.63	10000000
AMD QQueue	50-50	12	457.24	10000000
AMD QQueue	50-50	12	458.95	10000000
AMD QQueue	50-50	12	459.63	10000000
AMD QQueue	50-50	13	435.37	10000000
AMD QQueue	50-50	13	434.58	10000000
AMD QQueue	50-50	13	443.41	10000000
AMD QQueue	50-50	13	433.34	10000000
AMD QQueue	50-50	13	432.75	10000000
AMD QQueue	50-50	13	436.26	10000000
AMD QQueue	50-50	13	436.70	10000000
AMD QQueue	50-50	13	434.19	10000000
AMD QQueue	50-50	13	434.69	10000000
AMD QQueue	50-50	13	433.43	10000000
AMD QQueue	50-50	14	406.57	10000000
AMD QQueue	50-50	14	407.89	10000000
AMD QQueue	50-50	14	409.44	10000000
AMD QQueue	50-50	14	410.30	10000000
AMD QQueue	50-50	14	408.63	10000000
AMD QQueue	50-50	14	409.82	10000000
AMD QQueue	50-50	14	409.75	10000000
AMD QQueue	50-50	14	409.87	10000000
AMD QQueue	50-50	14	408.11	10000000
AMD QQueue	50-50	14	407.87	10000000
AMD QQueue	50-50	15	398.62	10000000
AMD QQueue	50-50	15	395.91	10000000
AMD QQueue	50-50	15	388.26	10000000
AMD QQueue	50-50	15	379.69	10000000
AMD QQueue	50-50	15	380.27	10000000
AMD QQueue	50-50	15	378.70	10000000
AMD QQueue	50-50	15	379.67	10000000
AMD QQueue	50-50	15	381.49	10000000
AMD QQueue	50-50	15	383.00	10000000
AMD QQueue	50-50	15	380.30	10000000
AMD QQueue	50-50	16	329.76	10000000
AMD QQueue	50-50	16	332.29	10000000
AMD QQueue	50-50	16	334.11	10000000
AMD QQueue	50-50	16	328.73	10000000
AMD QQueue	50-50	16	326.75	10000000
AMD QQueue	50-50	16	326.81	10000000
AMD QQueue	50-50	16	327.14	10000000
AMD QQueue	50-50	16	327.50	10000000
AMD QQueue	50-50	16	327.14	10000000
AMD QQueue	50-50	16	328.47	10000000
AMD QQueue	50-50	17	312.36	10000000
AMD QQueue	50-50	17	311.35	10000000
AMD QQueue	50-50	17	312.02	10000000
