arch type  mix	threads	ms	ops	
AMD EBS	50-50	1	555	5000000
AMD EBS	50-50	1	547	5000000
AMD EBS	50-50	1	555	5000000
AMD EBS	50-50	1	554	5000000
AMD EBS	50-50	1	548	5000000
AMD EBS	50-50	1	554	5000000
AMD EBS	50-50	1	547	5000000
AMD EBS	50-50	1	554	5000000
AMD EBS	50-50	1	555	5000000
AMD EBS	50-50	1	556	5000000
AMD EBS	50-50	2	556	5000000
AMD EBS	50-50	2	553	5000000
AMD EBS	50-50	2	552	5000000
AMD EBS	50-50	2	557	5000000
AMD EBS	50-50	2	554	5000000
AMD EBS	50-50	2	556	5000000
AMD EBS	50-50	2	557	5000000
AMD EBS	50-50	2	551	5000000
AMD EBS	50-50	2	548	5000000
AMD EBS	50-50	2	554	5000000
AMD EBS	50-50	3	552	5000000
AMD EBS	50-50	3	553	5000000
AMD EBS	50-50	3	555	5000000
AMD EBS	50-50	3	552	5000000
AMD EBS	50-50	3	553	5000000
AMD EBS	50-50	3	556	5000000
AMD EBS	50-50	3	556	5000000
AMD EBS	50-50	3	555	5000000
AMD EBS	50-50	3	551	5000000
AMD EBS	50-50	3	555	5000000
AMD EBS	50-50	4	558	5000000
AMD EBS	50-50	4	557	5000000
AMD EBS	50-50	4	559	5000000
AMD EBS	50-50	4	555	5000000
AMD EBS	50-50	4	555	5000000
AMD EBS	50-50	4	556	5000000
AMD EBS	50-50	4	564	5000000
AMD EBS	50-50	4	559	5000000
AMD EBS	50-50	4	553	5000000
AMD EBS	50-50	4	559	5000000
AMD EBS	50-50	5	559	5000000
AMD EBS	50-50	5	559	5000000
AMD EBS	50-50	5	559	5000000
AMD EBS	50-50	5	572	5000000
AMD EBS	50-50	5	561	5000000
AMD EBS	50-50	5	559	5000000
AMD EBS	50-50	5	561	5000000
AMD EBS	50-50	5	559	5000000
AMD EBS	50-50	5	556	5000000
AMD EBS	50-50	5	558	5000000
AMD EBS	50-50	6	567	5000000
AMD EBS	50-50	6	596	5000000
AMD EBS	50-50	6	630	5000000
AMD EBS	50-50	6	618	5000000
AMD EBS	50-50	6	645	5000000
AMD EBS	50-50	6	594	5000000
AMD EBS	50-50	6	602	5000000
AMD EBS	50-50	6	631	5000000
AMD EBS	50-50	6	574	5000000
AMD EBS	50-50	6	579	5000000
AMD EBS	50-50	7	593	5000000
AMD EBS	50-50	7	623	5000000
AMD EBS	50-50	7	646	5000000
AMD EBS	50-50	7	653	5000000
AMD EBS	50-50	7	658	5000000
AMD EBS	50-50	7	648	5000000
AMD EBS	50-50	7	654	5000000
AMD EBS	50-50	7	670	5000000
AMD EBS	50-50	7	642	5000000
AMD EBS	50-50	7	677	5000000
AMD EBS	50-50	8	652	5000000
AMD EBS	50-50	8	664	5000000
AMD EBS	50-50	8	672	5000000
AMD EBS	50-50	8	652	5000000
AMD EBS	50-50	8	661	5000000
AMD EBS	50-50	8	679	5000000
AMD EBS	50-50	8	677	5000000
AMD EBS	50-50	8	641	5000000
AMD EBS	50-50	8	646	5000000
AMD EBS	50-50	8	648	5000000
AMD EBS	50-50	9	672	5000000
AMD EBS	50-50	9	639	5000000
AMD EBS	50-50	9	660	5000000
AMD EBS	50-50	9	670	5000000
AMD EBS	50-50	9	674	5000000
AMD EBS	50-50	9	677	5000000
AMD EBS	50-50	9	674	5000000
AMD EBS	50-50	9	678	5000000
AMD EBS	50-50	9	656	5000000
AMD EBS	50-50	9	674	5000000
AMD EBS	50-50	10	704	5000000
AMD EBS	50-50	10	690	5000000
AMD EBS	50-50	10	673	5000000
AMD EBS	50-50	10	689	5000000
AMD EBS	50-50	10	652	5000000
AMD EBS	50-50	10	666	5000000
AMD EBS	50-50	10	687	5000000
AMD EBS	50-50	10	707	5000000
AMD EBS	50-50	10	680	5000000
AMD EBS	50-50	10	699	5000000
AMD EBS	50-50	11	689	5000000
AMD EBS	50-50	11	710	5000000
AMD EBS	50-50	11	721	5000000
AMD EBS	50-50	11	683	5000000
AMD EBS	50-50	11	713	5000000
AMD EBS	50-50	11	714	5000000
AMD EBS	50-50	11	692	5000000
AMD EBS	50-50	11	710	5000000
AMD EBS	50-50	11	715	5000000
AMD EBS	50-50	11	709	5000000
AMD EBS	50-50	12	737	5000000
AMD EBS	50-50	12	713	5000000
AMD EBS	50-50	12	726	5000000
AMD EBS	50-50	12	714	5000000
AMD EBS	50-50	12	726	5000000
AMD EBS	50-50	12	726	5000000
AMD EBS	50-50	12	720	5000000
AMD EBS	50-50	12	735	5000000
AMD EBS	50-50	12	728	5000000
AMD EBS	50-50	12	724	5000000
AMD EBS	50-50	13	753	5000000
AMD EBS	50-50	13	737	5000000
AMD EBS	50-50	13	731	5000000
AMD EBS	50-50	13	740	5000000
AMD EBS	50-50	13	744	5000000
AMD EBS	50-50	13	738	5000000
AMD EBS	50-50	13	743	5000000
AMD EBS	50-50	13	741	5000000
AMD EBS	50-50	13	745	5000000
AMD EBS	50-50	13	734	5000000
AMD EBS	50-50	14	758	5000000
AMD EBS	50-50	14	753	5000000
AMD EBS	50-50	14	760	5000000
AMD EBS	50-50	14	746	5000000
AMD EBS	50-50	14	752	5000000
AMD EBS	50-50	14	756	5000000
AMD EBS	50-50	14	755	5000000
AMD EBS	50-50	14	757	5000000
AMD EBS	50-50	14	752	5000000
AMD EBS	50-50	14	762	5000000
AMD EBS	50-50	15	765	5000000
AMD EBS	50-50	15	770	5000000
