arch	algo	method	proc	object	item	invoke	finish	visibilityPoint	primaryStamp	key
AMD	Treiber	Push	0	x	1	4275745687784	-1	-1	4275745687784	0
AMD	Treiber	Push	0	x	2	4275745691800	-1	-1	4275745691800	1
AMD	Treiber	Push	0	x	7	4275745692637	-1	-1	4275745692637	6
AMD	Treiber	Push	0	x	13	4275745693288	-1	-1	4275745693288	12
AMD	Treiber	Push	0	x	4	4275745693787	-1	-1	4275745693787	3
AMD	Treiber	Push	0	x	19	4275745694422	-1	-1	4275745694422	18
AMD	Treiber	Push	0	x	25	4275745694898	-1	-1	4275745694898	24
AMD	Treiber	Push	0	x	31	4275745695496	-1	-1	4275745695496	30
AMD	Treiber	Push	0	x	37	4275745696071	-1	-1	4275745696071	36
AMD	Treiber	Push	0	x	43	4275745696676	-1	-1	4275745696676	42
AMD	Treiber	Push	0	x	3	4275745697283	-1	-1	4275745697283	2
AMD	Treiber	Push	0	x	49	4275745697934	-1	-1	4275745697934	48
AMD	Treiber	Push	0	x	10	4275745698394	-1	-1	4275745698394	9
AMD	Treiber	Push	0	x	55	4275745698854	-1	-1	4275745698854	54
AMD	Treiber	Push	0	x	61	4275745699291	-1	-1	4275745699291	60
AMD	Treiber	Push	0	x	9	4275745699744	-1	-1	4275745699744	8
AMD	Treiber	Push	0	x	16	4275745700188	-1	-1	4275745700188	15
AMD	Treiber	Push	0	x	67	4275745700655	-1	-1	4275745700655	66
AMD	Treiber	Push	0	x	15	4275745701092	-1	-1	4275745701092	14
AMD	Treiber	Push	0	x	22	4275745701538	-1	-1	4275745701538	21
AMD	Treiber	Push	0	x	73	4275745701982	-1	-1	4275745701982	72
AMD	Treiber	Push	0	x	21	4275745702426	-1	-1	4275745702426	20
AMD	Treiber	Push	0	x	28	4275745702879	-1	-1	4275745702879	27
AMD	Treiber	Push	0	x	79	4275745703323	-1	-1	4275745703323	78
AMD	Treiber	Push	0	x	27	4275745703769	-1	-1	4275745703769	26
AMD	Treiber	Push	0	x	8	4275745704213	-1	-1	4275745704213	7
AMD	Treiber	Push	0	x	34	4275745704666	-1	-1	4275745704666	33
AMD	Treiber	Push	0	x	33	4275745705248	-1	-1	4275745705248	32
AMD	Treiber	Push	0	x	85	4275745705701	-1	-1	4275745705701	84
AMD	Treiber	Push	0	x	40	4275745706138	-1	-1	4275745706138	39
AMD	Treiber	Push	0	x	39	4275745706582	-1	-1	4275745706582	38
AMD	Treiber	Push	0	x	14	4275745707042	-1	-1	4275745707042	13
AMD	Treiber	Push	0	x	91	4275745707486	-1	-1	4275745707486	90
AMD	Treiber	Push	0	x	46	4275745707932	-1	-1	4275745707932	45
AMD	Treiber	Push	0	x	20	4275745708392	-1	-1	4275745708392	19
AMD	Treiber	Push	0	x	45	4275745708852	-1	-1	4275745708852	44
AMD	Treiber	Pop	0	x	45	4275745709296	-1	-1	-1	96
AMD	Treiber	Push	0	x	26	4275745710959	-1	-1	4275745710959	25
AMD	Treiber	Push	0	x	52	4275745711534	-1	-1	4275745711534	51
AMD	Treiber	Push	0	x	51	4275745712178	-1	-1	4275745712178	50
AMD	Treiber	Push	0	x	32	4275745712661	-1	-1	4275745712661	31
AMD	Treiber	Push	0	x	58	4275745713098	-1	-1	4275745713098	57
AMD	Treiber	Push	0	x	57	4275745713558	-1	-1	4275745713558	56
AMD	Treiber	Push	0	x	38	4275745714004	-1	-1	4275745714004	37
AMD	Treiber	Pop	0	x	38	4275745714464	-1	-1	-1	102
AMD	Treiber	Push	0	x	64	4275745715145	-1	-1	4275745715145	63
AMD	Treiber	Push	0	x	63	4275745715628	-1	-1	4275745715628	62
AMD	Treiber	Push	0	x	44	4275745716104	-1	-1	4275745716104	43
AMD	Treiber	Push	0	x	70	4275745716571	-1	-1	4275745716571	69
AMD	Treiber	Push	0	x	69	4275745717008	-1	-1	4275745717008	68
AMD	Treiber	Pop	0	x	69	4275745717461	-1	-1	-1	108
AMD	Treiber	Push	0	x	50	4275745718052	-1	-1	4275745718052	49
AMD	Treiber	Push	0	x	76	4275745718526	-1	-1	4275745718526	75
AMD	Treiber	Push	0	x	75	4275745719133	-1	-1	4275745719133	74
AMD	Treiber	Pop	0	x	75	4275745719607	-1	-1	-1	114
AMD	Treiber	Push	0	x	56	4275745720198	-1	-1	4275745720198	55
AMD	Treiber	Push	0	x	81	4275745720674	-1	-1	4275745720674	80
AMD	Treiber	Push	0	x	82	4275745721141	-1	-1	4275745721141	81
AMD	Treiber	Push	0	x	62	4275745721700	-1	-1	4275745721700	61
AMD	Treiber	Push	0	x	87	4275745722176	-1	-1	4275745722176	86
AMD	Treiber	Pop	0	x	87	4275745722659	-1	-1	-1	120
AMD	Treiber	Push	0	x	88	4275745723241	-1	-1	4275745723241	87
AMD	Treiber	Push	0	x	93	4275745723710	-1	-1	4275745723710	92
AMD	Treiber	Push	0	x	68	4275745724200	-1	-1	4275745724200	67
AMD	Treiber	Push	0	x	94	4275745724667	-1	-1	4275745724667	93
AMD	Treiber	Pop	0	x	94	4275745725120	-1	-1	-1	98
AMD	Treiber	Push	0	x	74	4275745725718	-1	-1	4275745725718	73
AMD	Treiber	Pop	0	x	74	4275745726194	-1	-1	-1	99
AMD	Treiber	Push	0	x	80	4275745726783	-1	-1	4275745726783	79
AMD	Treiber	Pop	0	x	80	4275745727259	-1	-1	-1	126
AMD	Treiber	Push	0	x	86	4275745727857	-1	-1	4275745727857	85
AMD	Treiber	Pop	0	x	86	4275745728310	-1	-1	-1	105
AMD	Treiber	Pop	0	x	68	4275745729069	-1	-1	-1	132
AMD	Treiber	Pop	0	x	93	4275745729743	-1	-1	-1	104
AMD	Treiber	Push	0	x	92	4275745730233	-1	-1	4275745730233	91
AMD	Treiber	Pop	0	x	92	4275745730778	-1	-1	-1	111
AMD	Treiber	Pop	0	x	88	4275745731284	-1	-1	-1	110
AMD	Treiber	Pop	0	x	62	4275745731882	-1	-1	-1	138
AMD	Treiber	Pop	0	x	82	4275745732388	-1	-1	-1	97
