arch	algo	method	proc	object	item	invoke	finish	visibilityPoint	primaryStamp	key
AMD	Treiber	Push	0	x	1	4275739704725	-1	-1	4275739704725	0
AMD	Treiber	Push	1	x	2	4275739715273	-1	-1	4275739715273	1
AMD	Treiber	Push	0	x	7	4275739739216	-1	-1	4275739739216	6
AMD	Treiber	Push	0	x	13	4275739741532	-1	-1	4275739741532	12
AMD	Treiber	Push	3	x	4	4275739743020	-1	-1	4275739743020	3
AMD	Treiber	Push	0	x	19	4275739743073	-1	-1	4275739743073	18
AMD	Treiber	Push	0	x	25	4275739744545	-1	-1	4275739744545	24
AMD	Treiber	Push	0	x	31	4275739746109	-1	-1	4275739746109	30
AMD	Treiber	Push	0	x	37	4275739747627	-1	-1	4275739747627	36
AMD	Treiber	Push	0	x	43	4275739749138	-1	-1	4275739749138	42
AMD	Treiber	Push	2	x	3	4275739749490	-1	-1	4275739749490	2
AMD	Treiber	Push	0	x	49	4275739750371	-1	-1	4275739750371	48
AMD	Treiber	Push	3	x	10	4275739751468	-1	-1	4275739751468	9
AMD	Treiber	Push	0	x	55	4275739751567	-1	-1	4275739751567	54
AMD	Treiber	Push	0	x	61	4275739752924	-1	-1	4275739752924	60
AMD	Treiber	Push	2	x	9	4275739753278	-1	-1	4275739753278	8
AMD	Treiber	Push	3	x	16	4275739753830	-1	-1	4275739753830	15
AMD	Treiber	Push	0	x	67	4275739754442	-1	-1	4275739754442	66
AMD	Treiber	Push	2	x	15	4275739755401	-1	-1	4275739755401	14
AMD	Treiber	Push	3	x	22	4275739755762	-1	-1	4275739755762	21
AMD	Treiber	Push	0	x	73	4275739756482	-1	-1	4275739756482	72
AMD	Treiber	Push	2	x	21	4275739756981	-1	-1	4275739756981	20
AMD	Treiber	Push	3	x	28	4275739757409	-1	-1	4275739757409	27
AMD	Treiber	Push	0	x	79	4275739758138	-1	-1	4275739758138	78
AMD	Treiber	Push	2	x	27	4275739758352	-1	-1	4275739758352	26
AMD	Treiber	Push	1	x	8	4275739758821	-1	-1	4275739758821	7
AMD	Treiber	Push	3	x	34	4275739758881	-1	-1	4275739758881	33
AMD	Treiber	Push	2	x	33	4275739759718	-1	-1	4275739759718	32
AMD	Treiber	Push	0	x	85	4275739760208	-1	-1	4275739760208	84
AMD	Treiber	Push	3	x	40	4275739760990	-1	-1	4275739760990	39
AMD	Treiber	Push	2	x	39	4275739761243	-1	-1	4275739761243	38
AMD	Treiber	Push	1	x	14	4275739762009	-1	-1	4275739762009	13
AMD	Treiber	Push	0	x	91	4275739762347	-1	-1	4275739762347	90
AMD	Treiber	Push	3	x	46	4275739763421	-1	-1	4275739763421	45
AMD	Treiber	Push	1	x	20	4275739763858	-1	-1	4275739763858	19
AMD	Treiber	Push	2	x	45	4275739764525	-1	-1	4275739764525	44
AMD	Treiber	Pop	0	x	51	4275739764916	-1	-1	-1	96
AMD	Treiber	Push	1	x	26	4275739765406	-1	-1	4275739765406	25
AMD	Treiber	Push	3	x	52	4275739765997	-1	-1	4275739765997	51
